id,topics,url,provider_id,active
1830,petroleum geo OR science OR survey,/alerts/feeds/08149589272187065929/10566481430270319275,1,1
1832,platinum mine OR production OR price,/alerts/feeds/08149589272187065929/5014749299079803493,1,1
1834,posco,/alerts/feeds/08149589272187065929/5014749299079806129,1,1
1835,potash,/alerts/feeds/08149589272187065929/10566481430270319535,1,1
1836,ptt,/alerts/feeds/08149589272187065929/13976854286007787000,1,1
1837,rare earth mining OR production OR price OR market,/alerts/feeds/08149589272187065929/5014749299079803562,1,1
1839,rebar,/alerts/feeds/08149589272187065929/5014749299079804277,1,1
1840,rice growing OR market OR export OR price,/alerts/feeds/08149589272187065929/13976854286007783888,1,1
1843,sandridge,/alerts/feeds/08149589272187065929/10566481430270319560,1,1
1844,sasol,/alerts/feeds/08149589272187065929/10566481430270316791,1,1
1845,schlumberger,/alerts/feeds/08149589272187065929/10566481430270320081,1,1
1846,scrap imports OR exports,/alerts/feeds/08149589272187065929/13976854286007786034,1,1
1847,seadrill,/alerts/feeds/08149589272187065929/13976854286007787261,1,1
1851,sinopec,/alerts/feeds/08149589272187065929/5014749299079804656,1,1
1852,smelter,/alerts/feeds/08149589272187065929/10566481430270318274,1,1
1853,solar energy OR power OR generation,/alerts/feeds/08149589272187065929/13976854286007785911,1,1
1854,southern peru,/alerts/feeds/08149589272187065929/13976854286007784609,1,1
1855,soybean imports OR exports OR market OR price,/alerts/feeds/08149589272187065929/13976854286007783704,1,1
1857,steel market OR production OR output OR capacity,/alerts/feeds/08149589272187065929/5014749299079805900,1,1
1858,stockmarket,/alerts/feeds/08149589272187065929/5014749299079805086,1,1
1859,sugar production OR price OR exports OR imports OR market,/alerts/feeds/08149589272187065929/13976854286007787123,1,1
1865,thorium,/alerts/feeds/08149589272187065929/10566481430270318833,1,1
1867,tidal energy OR renewable OR market,/alerts/feeds/08149589272187065929/5014749299079803054,1,1
1868,transneft,/alerts/feeds/08149589272187065929/10566481430270319002,1,1
1872,uranium OR zinc OR copper OR thorium,/alerts/feeds/08149589272187065929/13976854286007785850,1,1
1875,vestas Wind,/alerts/feeds/08149589272187065929/5014749299079804582,1,1
1877,"""WH group""",/alerts/feeds/08149589272187065929/13976854286007783872,1,1
1880,zinc,/alerts/feeds/08149589272187065929/5014749299079803209,1,1
2172,site:vietnamtimes.org.vn,/alerts/feeds/08149589272187065929/10566481430270317818,1,1
2173,gigafactory,/alerts/feeds/08149589272187065929/5014749299079806180,1,0
2174,nanotechnology,/alerts/feeds/08149589272187065929/13976854286007785837,1,0
2175,li-ion,/alerts/feeds/08149589272187065929/13976854286007787233,1,0
2176,site:oilprice.com,/alerts/feeds/08149589272187065929/5014749299079806239,1,0
2177,site:mwebantu.com,/alerts/feeds/08149589272187065929/13976854286007786910,1,1
2185,111 inc,/alerts/feeds/08149589272187065929/13976854286007786220,1,1
2186,site:metallaroyalty.com,/alerts/feeds/08149589272187065929/5014749299079806651,1,1
2187,site:cornishmetals.com,/alerts/feeds/08149589272187065929/13976854286007786510,1,1
2188,site:nevadacopper.com,/alerts/feeds/08149589272187065929/13976854286007786802,1,1
2189,site:first-quantum.com,/alerts/feeds/08149589272187065929/10566481430270317350,2,1
2190,site:westvaultmining.com,/alerts/feeds/08149589272187065929/13976854286007784487,1,1
2191,site:emergentmetals.com,/alerts/feeds/08149589272187065929/5014749299079803850,1,1
2192,site:newfoundlanddiscovery.ca,/alerts/feeds/08149589272187065929/5014749299079802921,1,1
2193,site:radissonmining.com,/alerts/feeds/08149589272187065929/5014749299079803159,1,1
2194,site:nexeraenergy.com,/alerts/feeds/08149589272187065929/13976854286007785743,1,1
2195,site:aisresources.com,/alerts/feeds/08149589272187065929/10566481430270319586,1,1
2196,site:greatquest.com,/alerts/feeds/08149589272187065929/13976854286007784885,1,1
2197,site:carlingold.com,/alerts/feeds/08149589272187065929/10566481430270317428,1,1
2198,site:capitalight.co,/alerts/feeds/08149589272187065929/13976854286007783766,1,1
2199,site:strataoil.com,/alerts/feeds/08149589272187065929/13976854286007786434,1,1
2201,site:globexmining.com,/alerts/feeds/08149589272187065929/13976854286007784164,1,1
2202,site:maritimeresourcescorp.com,/alerts/feeds/08149589272187065929/13976854286007784347,1,1
2203,site:barksdaleresources.com,/alerts/feeds/08149589272187065929/5014749299079804651,1,1
2204,site:universalcopper.com,/alerts/feeds/08149589272187065929/5014749299079804894,1,1
2205,site:altiusminerals.com,/alerts/feeds/08149589272187065929/5014749299079806326,1,1
2206,site:panamericansilver.com,/alerts/feeds/08149589272187065929/5014749299079805969,1,1
2207,site:quartzmountainresources.com,/alerts/feeds/08149589272187065929/13976854286007786189,1,1
