id,topics
511,MEDTRONIC PLC
512,LG UPLUS CORP
513,BECTON DICKINSON
514,CHOW TAI FOOK JE
515,CSL LTD
516,NABTESCO CORP
517,ROCHE HLDG-GENUS
518,SWISS PRIME -REG
519,HAPVIDA PARTICIP
520,PUMA SE UNSP-ADR
521,UNICHARM CORP
522,FASTENAL CO
523,SHIN-ETSU CHEM
524,AMETEK INC
525,JOHNSON&JOHNSON
526,SONY GROUP CORP
527,DIAGEO PLC
528,SINGAPORE TELECO
529,HANGZHOU HIKVI-A
530,ELASTIC NV
531,COMERICA INC
532,MONDELEZ INTER-A
533,SUMITOMO WAREHOU
534,FMC CORP
535,REVVITY INC
536,EQUIFAX INC
537,DANONE
538,NSK LTD
539,EUROFINS SCIEN
540,NORFOLK SOUTHERN
541,ALEXANDRIA REAL
542,AMADEUS IT GROUP
543,SIEMENS AG-REG
544,HENRY SCHEIN INC
545,SIG GROUP AG
546,VIET NAM DAIRY P
547,ZIMMER BIOMET HO
548,GRUPO F BANORT-O
549,EVERSOURCE ENERG
550,SSE PLC
551,HAN'S LASER -A
552,FEDEX CORP
553,CKH HOLDINGS
554,KEURIG DR PEPPER
555,COSTAR GROUP INC
556,MEDIPAL HD
557,RIO TINTO PLC
558,AMERICAN WATER W
559,WEST PHARMACEUT
560,FOSHAN HAITIAN-A
561,ALIGN TECHNOLOGY
562,GARTNER INC
563,NESTLE SA-REG
564,SHENZHEN INVEST
565,ASAHI KASEI CORP
566,NORTHERN TRUST
567,UNITEDHEALTH GRP
568,DATADOG INC-A
569,PDD HOLDINGS INC
570,BARRICK GOLD CRP
571,EQUINIX INC
572,WANT WANT CHINA
573,UNION PAC CORP
574,CME GROUP INC
575,HEXAGON AB-B
576,STATE ST CORP
577,L'OREAL
578,APPLE INC
579,PEARSON PLC
580,KEYSIGHT TEC
581,PFIZER INC
582,HENGAN INTL
583,SAMSUNG ELECTRON
584,GOLDWIND SCIEN-A
585,SIEMENS HEALTHIN
586,BRIT LAND CO PLC
587,SANOFI
588,DOCUSIGN INC
589,IQVIA HOLDINGS I
590,S&P GLOBAL INC
591,HINO MOTORS LTD
592,LABCORP HOLDINGS
593,MAPLETREE NORTH
594,SPLUNK INC
595,CHR HANSEN HOLDI
596,NOVOZYMES-B SHS
